Kabotoumb	/places/222075/kabotoumba
Kallinik	/places/668318/kallinikos
Thera	/places/573554/therai
Zaraspad	/places/961886/zaraspadum
Porticens	/places/471998/porticenses
Teuton	/places/99044/teutones	/places/118991/teutoni
Drymeitid Diorux	/places/741457/drymeitidos-diorux
Patar M.	/places/639041/Patara-M
Idali	/places/707519/idalion
ʿnḫ-tꜣwj	/places/736963/2bfnh-ta723wj
Beged	/places/252182/begeda	/places/246634/begeda
Cistaep	/places/806350/cistaepe
Alipha	/places/543623/aliphai
Circesi	/places/893974/circesium
Aregenou	/places/69468/aregenoua	/places/69469/aregenoua
Oxydraka	/places/59970/oxydrakai
Ampelusi Pr.	/places/275724/Ampelusia-Pr
Glaphyra	/places/540790/glaphyrai
Soricari	/places/270373/soricaria
Britaniens	/places/236384/britaniensis
Syrtic	/places/364017/syrtica
Egr	/places/814675/egra	/places/40025/egra	/places/814674/egra
Dölsach	/places/187265/doelsach
Hier Byzanti	/places/521034/hieron-byzantion
Egl	/places/678126/egla
Inuc	/places/315044/inuca
Lidar Höyüğü	/places/658520/lidar-hoeyugu
Samsban	/places/897843/samsbanas
Iug Astur	/places/236492/iuga-asturum
Buḥair Burull	/places/727187/buhaira-burullus
Dasmini	/places/207072/dasminium
Tustar	/places/912941/tustar
Antiochi Castell	/places/648559/antiochia-castellum
Ad Quart	/places/432633/ad-quartum
Arg Pedi	/places/570105/argon-pedion
Ad Decum	/places/255952/ad-decumum
Taucheir	/places/373736/taucheira
Euor	/places/573222/euoras
Col. Virt Iuli	/places/265938/col-virtus-iulia
Qosṭanṭiniy	/places/77402394/qostantiniye
Dioskom	/places/609364/dioskome
Admath	/places/697629/admatha	/places/678131/admatha
Aiolei	/places/491515/aioleion
Ranil	/places/222164/ranilum
Byzaci	/places/324681/byzacium
Arenari	/places/403178/arenaria
Dioskor	/places/376772/dioskoron
Iezreel	/places/678197/iezreel
Condigramm	/places/60488/condigramma
Teness	/places/40332/tenessis
Serape	/places/727228/serapeum	/places/737044/serapeum
Miz…	/places/315083/Miz
For Appi	/places/422927/forum-appii
Phygel	/places/599887/phygela
Sikelik Porthm	/places/462494/sikelikos-porthmos
Artakaun	/places/30211/artakauna
Castr Servili	/places/260528/castra-servilia
Hermeth	/places/786036/hermethis
Nouo	/places/756607/nouoi
Shapur Khwast	/places/903064/shapur-khwast
Then	/places/678428/thena
Them	/places/260648/thema
Hibit pol	/places/776181/hibiton-polis
Paestan Sin	/places/442704/paestanus-sinus
Siragan	/places/874702/siraganon
Theb	/places/648577/thebae	/places/786017/theben	/places/550919/thebe	/places/541138/thebes	/places/847909/theba	/places/541138/thebae
Myron	/places/40230/myronos
Taposir Mikr	/places/727242/taposiris-mikra
Civit Furc(...)	/places/314935/civitas-furc
Ther	/places/222205/thera	/places/599971/thera	/places/599972/thera	/places/599973/thera	/places/590076/theren
Seiv	/places/622175/seiva
Phyllita	/places/59998/phyllitai
Baiti	/places/494543/baition	/places/39312/baitios
Ainian	/places/540611/ainianes
Civit Mirietanor	/places/260538/civitas-mirietanorum
Etruri	/places/413122/etruria
Aqu Pincian	/places/466592/aquae-pincianae	/places/462099/aquae-pincianae
Aliph	/places/543623/aliphe
Lid M.	/places/599768/Lide-M
Ricin	/places/383758/ricina
Bēt Lāpāṭ	/places/678060/bet-lapat-1
Paptoul	/places/795839/paptoulis
Lyrn	/places/638971/lyrna	/places/638972/lyrnas
Animul	/places/446214/animula
Tias	/places/570738/tiasa
Sembeich	/places/759633/sembeichis
Sabe Median	/places/40276/sabeon-mediana
Phalari	/places/462422/phalarion
Artaken	/places/874341/artakene	/places/893935/artakene
Octavi	/places/422991/octavii
Mylas	/places/599810/mylasa	/places/599809/mylasa
Bergid	/places/252183/bergidum	/places/240868/bergida
Apsor	/places/857032/apsoros
Bergin	/places/152513/bergine
Phagroriopol	/places/730138/phagroriopolis
Symplegad	/places/521160/symplegades
Gallinari Silv	/places/432859/gallinaria-silva
Apsod	/places/844863/apsoda
Bergis	/places/222011/bergison
Myttian Pag	/places/438791/myttianus-pagus
Tigranucom	/places/662223/tigranucomae
Meter ap Speleou, T.	/places/609464/Meter-apo-Speleou-T
Riz	/places/857297/rize-1	/places/857297/rize
Diethus	/places/507398/diethusa
Tabennesiotikon, Mon.	/places/759651/Tabennesiotikon-Mon
Rip	/places/270365/ripa
Acharde	/places/825226/achardeos
Rim	/places/915889/rima
Polyteli	/places/897832/polytelia
Karsea	/places/554250/karseai
Misyl	/places/614753/misylon
ʿA as-Sulṭān	/places/687917/2bfain-as-sultan
Ḥẹf	/places/678404/hefa-1
